TOPIC,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_LCI,ESTIMATE_UCI,FLAG,FOOTNOTE_ID_LIST
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,1999,23,266.5,0.3,265.8,267.1,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2000,24,257.6,0.3,257,258.2,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2001,25,249.5,0.3,248.9,250.1,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2002,26,244.6,0.3,244.1,245.2,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2003,27,236.3,0.3,235.8,236.9,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2004,28,221.6,0.3,221.1,222.2,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2005,29,216.8,0.3,216.3,217.4,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2006,30,205.5,0.3,205,206,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2007,31,196.1,0.3,195.6,196.6,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2008,32,192.1,0.2,191.6,192.6,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2009,33,182.8,0.2,182.4,183.3,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2010,34,179.1,0.2,178.7,179.6,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2011,35,173.7,0.2,173.3,174.2,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2012,36,170.5,0.2,170.1,170.9,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2013,37,169.8,0.2,169.3,170.2,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2014,38,167,0.2,166.6,167.4,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2015,39,168.5,0.2,168.1,168.9,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2016,40,165.5,0.2,165.1,165.9,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2017,41,165,0.2,164.6,165.4,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2018,42,163.6,0.2,163.2,164,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2019,43,161.5,0.2,161.1,161.9,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2020,44,168.2,0.2,167.8,168.6,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2021,45,173.8,0.2,173.4,174.2,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, age adjusted",1,2022,46,167.2,0.2,166.8,167.6,,"FN0160,FN0020,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,1999,23,259.9,0.3,259.3,260.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2000,24,252.6,0.3,252,253.1,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2001,25,245.7,0.3,245.1,246.3,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2002,26,242.3,0.3,241.7,242.9,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2003,27,236.1,0.3,235.6,236.7,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2004,28,222.8,0.3,222.3,223.4,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2005,29,220.7,0.3,220.1,221.2,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2006,30,211.7,0.3,211.2,212.2,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2007,31,204.5,0.3,204,205,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2008,32,202.8,0.3,202.3,203.3,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2009,33,195.4,0.3,194.9,195.9,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2010,34,193.6,0.3,193.1,194.1,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2011,35,191.5,0.2,191,191.9,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2012,36,191,0.2,190.6,191.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2013,37,193.3,0.2,192.8,193.8,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2014,38,192.7,0.2,192.2,193.2,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2015,39,197.2,0.2,196.7,197.7,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2016,40,196.6,0.2,196.1,197.1,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2017,41,198.8,0.2,198.3,199.3,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2018,42,200.3,0.2,199.8,200.8,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2019,43,200.8,0.2,200.3,201.3,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2020,44,211.5,0.3,211,212,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2021,45,209.6,0.3,209.1,210.1,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Total,0,Total,0,1,All people,1.11,1,"Deaths per 100,000 resident population, crude",2,2022,46,210.9,0.3,210.4,211.4,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,1999,23,13.8,0.6,12.6,15,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2000,24,13,0.6,11.8,14.1,,"FN0160,NT0084,SC0001"
